Y,accyear,devyear
5012,1,1
106,2,1
3410,3,1
5655,4,1
1092,5,1
1513,6,1
557,7,1
1351,8,1
3133,9,1
2063,10,1
3257,1,2
4179,2,2
5582,3,2
5900,4,2
8473,5,2
4932,6,2
3463,7,2
5596,8,2
2262,9,2
2638,1,3
1111,2,3
4881,3,3
4211,4,3
6271,5,3
5257,6,3
6926,7,3
6165,8,3
898,1,4
5270,2,4
2268,3,4
5500,4,4
6333,5,4
1233,6,4
1368,7,4
1734,1,5
3116,2,5
2594,3,5
2159,4,5
3786,5,5
2917,6,5
2642,1,6
1817,2,6
3479,3,6
2658,4,6
225,5,6
1828,1,7
-103,2,7
649,3,7
984,4,7
599,1,8
673,2,8
603,3,8
54,1,9
535,2,9
172,1,10
